date;1;2;3;4;5;6;7;8;9;10;11;12
Dez 18;101.1245;97.9287;99.9184;99.9353;99.7431;101.4057;102.9361;100.7950;102.3463;98.3569;98.9360;100.0427
Jan 19;101.2391;99.1463;92.0232;99.7468;99.0936;101.1518;102.2725;100.7348;102.2351;98.3569;100.7833;99.9283
Feb 19;101.6537;99.2654;94.4372;99.9735;98.9682;101.1293;103.5415;100.7199;103.4906;98.3569;100.4562;99.8350
Mär 19;101.3648;98.7006;99.6312;100.0799;98.9154;101.1117;104.5377;101.0247;105.6578;98.3569;101.0098;100.1294
Apr 19;101.4571;98.7565;101.7755;100.0386;100.6624;100.9579;105.6525;101.1286;106.1388;98.3569;100.3833;99.5328
Mai 19;101.9797;98.9934;102.4363;100.3041;100.0922;100.9139;106.5279;102.0896;106.3985;98.3569;100.1964;100.6316
Jun 19;102.3679;99.1042;101.0087;99.9883;100.0549;100.8738;106.0761;102.0228;107.5051;98.3569;100.4234;100.5825
Jul 19;102.1778;99.9140;92.6365;100.1317;99.9060;101.1404;104.9651;100.3078;106.2446;98.3569;100.4103;100.3136
Aug 19;102.2628;99.6991;95.5049;100.1854;100.2470;100.8686;103.9336;100.1598;105.6645;99.2548;100.6425;100.8157
Sep 19;102.0102;100.0882;99.3980;100.2724;100.3405;100.8332;103.0544;99.9735;104.1091;99.2548;100.2390;101.0464
Okt 19;101.0133;99.5991;101.2178;100.1112;99.4238;100.8252;102.9781;99.8627;103.6038;99.2548;99.7174;101.1792
Nov 19;100.3776;99.0233;101.6578;100.4887;100.0995;100.8022;102.6197;100.0988;102.4379;99.2548;99.1853;101.1572
Dez 19;100.4216;99.2318;101.2233;100.5050;100.8233;100.8285;102.4197;100.8010;102.4032;99.2548;99.5259;100.6261
Jan 20;100.2553;99.9041;94.2252;100.4638;99.4547;100.2954;102.4204;100.8782;101.8641;99.2548;101.9938;100.1320
Feb 20;100.3282;99.7619;96.6812;100.3092;99.9448;100.2917;103.2583;100.8220;102.3102;99.2548;101.3931;99.9739
