MCC,Description (Spanish),Categorization
0,NON-CATEGORIZED,non-categorizable
742,SERVICIOS VETERINARIOS                  ,9
763,COOPERATIVAS AGRARIAS                   ,1
780,SERVICIOS DE HORTICULTURA Y PAISAJISMO  ,5
1305,COSTCO                                  ,supermarket
1306,AENA                                    ,7
1307,BURGUER KING                            ,11
1309,ENDESA                                  ,4
1310,IBERDROLA                               ,4
1311,JUST EAT SPAIN                          ,11
1312,AENA                                    ,7
1313,MAPFRE FAMILIAR                         ,12
1314,CABIFY                                  ,7
1315,NAUTALIA                                ,9
1316,BALLENOIL                               ,7
1317,AREAS                                   ,11
1318,DRUNI                                   ,12
1319,VIVUS                                   ,non-consumption
1320,BURGUER KING                            ,11
1321,DESTINIA                                ,9
1322,SPRINTER                                ,sporting
1323,SUPERMERCADOS SORLI DISCAU              ,1
1324,LATAM.COM                               ,7
1325,PORTAL GAS NATURAL                      ,4
1326,AYUNTAMIENTO DE MADRID                  ,non-consumption
1327,PC COMPONENTES                          ,9
1328,LÍNEA DIRECTA ASEGURADORA               ,12
1329,ATESA                                   ,7
1330,CALZEDONIA                              ,3
1331,DIRECCIÓN GENERAL DE TRÁFICO            ,7
1332,PHONE WAREHOUSE                         ,8
1333,ALAEO1                                  ,7
1334,GOLDCAR                                 ,7
1335,ATRAPALO                                ,9
1336,ALIMERKA                                ,supermarket
1337,TELEFONICA-DISTRIBDRES Y FRACQ          ,8
1338,ENTRADAS.COM                            ,9
1339,MCDONALS                                ,11
1340,MCDONALS FRANQUICIAS                    ,11
1341,FOIZ RESTAURACION                       ,11
1342,AHORRAMAS FRANQUICIAS Y DISTRI          ,supermarket
1343,GLOBALIA HOTELES FRANQUICIAS            ,11
1344,VIAJES BARCELÓ FRANQUICIAS              ,9
1345,VODAFONE FRANQUICIAS                    ,8
1346,SARAS ENERGIA                           ,7
1347,ALSA RESTAURACION                       ,11
1348,ALSA                                    ,7
1349,REPSOL RESTAURACION                     ,11
1350,SUPERMERCADOS LUPA                      ,supermarket
1351,PRIVALIA                                ,3
1353,DIA                                     ,supermarket
1354,DIA FRANQUICIADOS                       ,supermarket
1355,PRIMARK                                 ,3
1356,SPORT ZONE                              ,sporting
1357,ZIPPI KIDSTORE                          ,3
1358,DESIGUAL                                ,3
1359,LOGITRAVEL                              ,9
1360,SERVITICKET                             ,9
1361,WORTEN                                  ,electronic goods
1362,FRANQUICIADOS DE EROSKI                 ,supermarket
1363,ALCAMPO FRANQUICIAS                     ,supermarket
1364,ALCAMPO FRANQUICIAS-GASOLINERA          ,7
1366,FRANQUICIADOS CONSUM                    ,supermarket
1368,DABA (NEXPRESSO)                        ,1
1369,METRO BARCELONA                         ,7
1370,SUPERMERCADOS ALDI                      ,supermarket
1371,BLANCO                                  ,3
1372,RUMBO                                   ,9
1373,SUPERMERCADOS FROIZ                     ,supermarket
1375,ITINERE                                 ,7
1376,SABA                                    ,7
1378,AQUALUNA PERFUMERIAS                    ,12
1379,HIPER USERA HORECA                      ,supermarket
1380,METRO DE MADRID                         ,7
1381,EDREAMS                                 ,9
1382,GAME GROUP                              ,9
1383,REDCATS (G. PPR)                        ,3
1384,GENERAL OPTICA (FRANQUICIAS)            ,6
1385,PEPEMOBILE RECARGAS TELEF               ,8
1389,VIAJES CARREFOUR                        ,9
1390,SUPERMERCADOS CONDIS FRANQUICIAS        ,supermarket
1391,BODYBEL-JUTECO                          ,12
1392,GUCCI                                   ,3
1393,VENTA DE ARMAS                          ,9
1394,MANGO FRANQUICIAS                       ,3
1395,SUPERMERCADOS MAS Y MAS                 ,supermarket
1396,CORPORAC ALIMENT DE GUISSONA            ,supermarket
1397,SUPERMERCADOS CONDIS                    ,supermarket
1398,BARCELO HOTELES                         ,11
1399,MAKRO RESTAURANTES                      ,11
1400,SUPERMERCADOS EL ARBOL                  ,supermarket
1401,BON PREU                                ,supermarket
1402,MIQUEL ALIMENTACIÓN ,supermarket
1403,AHORRAMAS                               ,supermarket
1405,LIDL                                    ,supermarket
1406,H&M                                     ,3
1407,VUELING AIRLINES                        ,7
1409,SUPERMERCADOS GADISA                    ,supermarket
1410,LECLERC                                 ,supermarket
1411,CONSUM                                  ,supermarket
1412,AUMAR                                   ,7
1413,MERCADONA                               ,supermarket
