MCC,noga4,noga3,noga2,our_code,our_category,Description,General Merchant Category Codes,Valid Payment Brand(s)
742,7500,750,75,PRS,Professional Services,Veterinary Services,Agricultural Services,"V, M"
3757,5510,551,55,ACC,Accomodation,Canyon Ranch,Lodging,TSYS
3437,7711;4932,771,77,TS,Transport Services,Cite,Car Rental,V
3414,7711;4932,771,77,TS,Transport Services,Godfrey National,Car Rental,V
3284,5110,511,51,TS,Transport Services,Aero Virgin Islands,Airlines,V
3281,5110,511,51,TS,Transport Services,Air Djibouti,Airlines,TSYS
3274,5110,511,51,TS,Transport Services,Inter Nor Hotels,Airlines,TSYS
3273,5110,511,51,TS,Transport Services,Rica Hotels,Airlines,TSYS
3262,5110,511,51,TS,Transport Services,Reno Air,Airlines,V
3259,5110,511,51,TS,Transport Services,American Trans Air,Airlines,V
3254,5110,511,51,TS,Transport Services,U.S. Air Shuttle,Airlines,V
3251,5110,511,51,TS,Transport Services,Aloha Airlines,Airlines,V
3238,5110,511,51,TS,Transport Services,Bemidji Aviation,Airlines,V
3235,5110,511,51,TS,Transport Services,Brockway Air,Airlines,V
3233,5110,511,51,TS,Transport Services,Capitol Air,Airlines,V
3218,5110,511,51,TS,Transport Services,Crown Air,Airlines,V
3216,5110,511,51,TS,Transport Services,Cumberland Airlines,Airlines,V
3215,5110,511,51,TS,Transport Services,Dan Air Services,Airlines,V
3203,5110,511,51,TS,Transport Services,Golden Pacific Air,Airlines,V
3176,5110,511,51,TS,Transport Services,Metroflight Airlines,Airlines,V
3170,5110,511,51,TS,Transport Services,Mount Cook,Airlines,V
3165,5110,511,51,TS,Transport Services,New York Helicopter,Airlines,V
3154,5110,511,51,TS,Transport Services,Princeville,Airlines,V
3145,5110,511,51,TS,Transport Services,San Juan,Airlines,V
3143,5110,511,51,TS,Transport Services,Scenic Airlines,Airlines,V
3138,5110,511,51,TS,Transport Services,Simmons Airlines,Airlines,V
3137,5110,511,51,TS,Transport Services,Singleton,Airlines,V
3135,5110,511,51,TS,Transport Services,Sudan Airways,Airlines,V
3133,5110,511,51,TS,Transport Services,Sunbelt Airlines,Airlines,V
3126,5110,511,51,TS,Transport Services,Talair PTY Ltd.,Airlines,V
3110,5110,511,51,TS,Transport Services,Wings Airways,Airlines,V
3086,5110,511,51,TS,Transport Services,Carnival Airlines,Airlines,V
3081,5110,511,51,TS,Transport Services,NordAir,Airlines,TSYS
3019,5110,511,51,TS,Transport Services,Germanwings,Airlines,TSYS
9752,5310;7010;8411,531,53,PRS,Professional Services,"UK Petrol Stations, Electronic Hot File",Government Services,TSYS
